timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
86000232,85999666,41,0,8362,0,1202,1201,1612,1687,1630,1551,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
86502430,86501870,41,0,8418,0,1281,1281,1530,1584,1561,1500,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
86997317,86996690,41,0,8472,0,1328,1328,1418,1494,1522,1442,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
87508797,87508237,41,0,8529,0,1305,1305,1490,1550,1596,1480,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
87994098,87993501,41,0,8583,0,1304,1303,1498,1557,1610,1482,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
88503777,88503216,41,0,8639,0,1304,1303,1231,1344,1582,1350,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
89011022,89010452,41,0,8695,0,1304,1303,1185,1307,1532,1326,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
89485707,89485142,41,0,8748,0,1279,1280,1086,1227,1590,1270,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
89997896,89997336,41,0,8804,0,1269,1287,1035,1187,1635,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
90500149,90499579,41,0,8860,0,1240,1295,1024,1177,1651,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
91004846,91004284,41,0,8916,0,1145,1285,1030,1183,1651,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
91504602,91504041,41,0,8971,0,1159,1280,1075,1218,1637,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
91986739,91986179,41,0,9025,0,1247,1247,1552,1612,1728,1511,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
92493960,92493400,41,0,9081,0,1249,1247,1667,1755,1652,1583,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
93001162,93000603,41,0,9137,0,1424,1424,1715,1816,1545,1612,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
93493390,93492829,41,0,9191,0,1428,1428,1343,1433,1538,1405,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
94005714,94005153,41,0,9248,0,1428,1428,1169,1294,1630,1318,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
94492784,94492223,41,0,9302,0,1410,1410,1060,1207,1736,1263,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
94997498,94996937,41,0,9358,0,1410,1409,1258,1366,2006,1362,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
95407246,95406686,41,0,9401,0,1410,1409,1140,1271,2006,1303,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
95996908,95996348,41,0,9437,0,1479,1479,1249,1358,2006,1358,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
96511661,96511081,41,0,9493,0,1480,1479,1345,1434,2006,1416,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
97006326,97005764,41,0,9547,0,1480,1479,1330,1422,2006,1400,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
97491057,97490496,41,0,9601,0,1529,1528,1438,1509,2006,1451,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
98003407,98002778,41,0,9657,0,1529,1528,1457,1524,2006,1462,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
98490472,98489912,41,0,9706,0,1556,1556,1529,1583,2006,1499,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
99002672,99002112,41,0,9761,0,1556,1556,1550,1608,2006,1512,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
99509890,99509330,41,0,9815,0,1634,1633,1598,1670,2006,1543,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
