timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
231265452,4259850,4259850,2490378,0,0,0.15222295,0.15222296,0.0,0.0,4325386,4325386,2490378,0,0,0.006323511,0.006323511,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
231465344,4259850,4259850,2490378,0,0,0.15578978,0.15578982,0.0,0.0,4325386,4325386,2490378,0,0,0.0066642924,0.0066642924,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
231665292,4259850,4259850,2490378,0,0,0.15505424,0.15505424,0.0,0.0,4325386,4325386,2490378,0,0,0.0067555043,0.0067555043,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
231865242,4259850,4259850,2490378,0,0,0.15442376,0.15442377,0.0,0.0,4325386,4325386,2490378,0,0,0.006181827,0.006181827,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
232065193,4259850,4259850,2490378,0,0,0.15255731,0.15255733,0.0,0.0,4325386,4325386,2490378,0,0,0.0062606875,0.0062606875,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
232265147,4259850,4259850,2490378,0,0,0.1527626,0.1527626,0.0,0.0,4325386,4325386,2490378,0,0,0.005948372,0.0059483727,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
232465095,4259850,4259850,2490378,0,0,0.15527862,0.15527864,0.0,0.0,4325386,4325386,2490378,0,0,0.005718929,0.005718929,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
232665045,4259850,4259850,2490378,0,0,0.15333492,0.15333487,0.0,0.0,4325386,4325386,2490378,0,0,0.0063093314,0.0063093314,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
232864997,4259850,4259850,2490378,0,0,0.15332188,0.15332188,0.0,0.0,4325386,4325386,2490378,0,0,0.0063709165,0.006370917,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
233064947,4259850,4259850,2490378,0,0,0.15252323,0.15252322,0.0,0.0,4325386,4325386,2490378,0,0,0.006379544,0.006379544,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
233264899,4259850,4259850,2490378,0,0,0.15440688,0.15440685,0.0,0.0,4325386,4325386,2490378,0,0,0.005945718,0.005945718,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
233464907,4259850,4259850,2490378,0,0,0.1506556,0.15065558,0.0,0.0,4325386,4325386,2490378,0,0,0.006041197,0.006041197,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
233664801,4259850,4259850,2490378,0,0,0.15480253,0.15480253,0.0,0.0,4325386,4325386,2490378,0,0,0.0055849985,0.0055849995,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
233864752,4259850,4259850,2490378,0,0,0.15217088,0.1521709,0.0,0.0,4325386,4325386,2490378,0,0,0.006615123,0.0066151223,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
234064809,4259850,4259850,2490378,0,0,0.153194,0.153194,0.0,0.0,4325386,4325386,2490378,0,0,0.006134605,0.006134606,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
234264653,4259850,4259850,2490378,0,0,0.1521405,0.15214047,0.0,0.0,4325386,4325386,2490378,0,0,0.0061873556,0.0061873556,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
234464600,4259850,4259850,2490378,0,0,0.1527938,0.15279377,0.0,0.0,4325386,4325386,2490378,0,0,0.0065345853,0.0065345853,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
234664553,4259850,4259850,2490378,0,0,0.1505254,0.15052539,0.0,0.0,4325386,4325386,2490378,0,0,0.0063075866,0.0063075866,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
234864504,4259850,4259850,2490378,0,0,0.15230648,0.15230648,0.0,0.0,4325386,4325386,2490378,0,0,0.0066199657,0.0066199657,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
235064455,4259850,4259850,2490378,0,0,0.15517591,0.15517591,0.0,0.0,4325386,4325386,2490378,0,0,0.0061565046,0.0061565046,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
235264403,4259850,4259850,2490378,0,0,0.15309207,0.15309206,0.0,0.0,4325386,4325386,2490378,0,0,0.0059695235,0.0059695235,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
235464356,4259850,4259850,2490378,0,0,0.15146108,0.1514611,0.0,0.0,4325386,4325386,2490378,0,0,0.0065947245,0.0065947245,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
235664309,4259850,4259850,2490378,0,0,0.15383664,0.15383667,0.0,0.0,4325386,4325386,2490378,0,0,0.0064005554,0.0064005554,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
235864258,4259850,4259850,2490378,0,0,0.15286334,0.15286332,0.0,0.0,4325386,4325386,2490378,0,0,0.0061168484,0.0061168484,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
236064229,4259850,4259850,2490378,0,0,0.15203811,0.15203813,0.0,0.0,4325386,4325386,2490378,0,0,0.0064668986,0.0064668986,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
236264158,4259850,4259850,2490378,0,0,0.15186264,0.15186262,0.0,0.0,4325386,4325386,2490378,0,0,0.0065115676,0.0065115676,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
236464112,4259850,4259850,2490378,0,0,0.15129294,0.15129292,0.0,0.0,4325386,4325386,2490378,0,0,0.006311538,0.006311538,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
236664060,4259850,4259850,2490378,0,0,0.15480845,0.15480846,0.0,0.0,4325386,4325386,2490378,0,0,0.0058926353,0.0058926353,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
236864174,4259850,4259850,2490378,0,0,0.15133703,0.15133701,0.0,0.0,4325386,4325386,2490378,0,0,0.0064949403,0.0064949403,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
237063975,4259850,4259850,2490378,0,0,0.15284306,0.15284307,0.0,0.0,4325386,4325386,2490378,0,0,0.006441334,0.006441333,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
237263912,4259850,4259850,2490378,0,0,0.15340178,0.15340173,0.0,0.0,4325386,4325386,2490378,0,0,0.0064276224,0.0064276224,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
237463862,4259850,4259850,2490378,0,0,0.15356174,0.15356176,0.0,0.0,4325386,4325386,2490378,0,0,0.006321921,0.006321921,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
237668816,4259850,4259850,2490378,0,0,0.15545493,0.15545492,0.0,0.0,4325386,4325386,2490378,0,0,0.006249659,0.006249659,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
237863768,4259850,4259850,2490378,0,0,0.15373054,0.15373057,0.0,0.0,4325386,4325386,2490378,0,0,0.006168055,0.006168055,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
238063715,4259850,4259850,2490378,0,0,0.15416506,0.15416504,0.0,0.0,4325386,4325386,2490378,0,0,0.0064018383,0.0064018383,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
238263672,4259850,4259850,2490378,0,0,0.1540886,0.15408862,0.0,0.0,4325386,4325386,2490378,0,0,0.006174234,0.006174234,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
238463629,4259850,4259850,2490378,0,0,0.1539275,0.15392748,0.0,0.0,4325386,4325386,2490378,0,0,0.0067859557,0.006785956,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
238663578,4259850,4259850,2490378,0,0,0.15497003,0.15497003,0.0,0.0,4325386,4325386,2490378,0,0,0.006224444,0.006224444,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
238863522,4259850,4259850,2490378,0,0,0.15436073,0.15436073,0.0,0.0,4325386,4325386,2490378,0,0,0.006779327,0.006779327,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
239068487,4259850,4259850,2490378,0,0,0.15264255,0.15264256,0.0,0.0,4325386,4325386,2490378,0,0,0.0065042335,0.0065042335,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
239268421,4259850,4259850,2490378,0,0,0.15463243,0.15463242,0.0,0.0,4325386,4325386,2490378,0,0,0.0064035803,0.0064035803,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
239463371,4259850,4259850,2490378,0,0,0.15202585,0.15202582,0.0,0.0,4325386,4325386,2490378,0,0,0.0062828474,0.0062828474,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
239663352,4259850,4259850,2490378,0,0,0.15293632,0.15293631,0.0,0.0,4325386,4325386,2490378,0,0,0.006601092,0.006601092,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
239863269,4259850,4259850,2490378,0,0,0.1509903,0.15099032,0.0,0.0,4325386,4325386,2490378,0,0,0.006244566,0.006244566,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
240063223,4259850,4259850,2490378,0,0,0.15330485,0.15330485,0.0,0.0,4325386,4325386,2490378,0,0,0.006099958,0.006099958,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
240263215,4259850,4259850,2490378,0,0,0.15234388,0.15234385,0.0,0.0,4325386,4325386,2490378,0,0,0.006420437,0.006420437,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
240468122,4259850,4259850,2490378,0,0,0.15547676,0.15547676,0.0,0.0,4325386,4325386,2490378,0,0,0.0059628882,0.0059628882,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
240668072,4259850,4259850,2490378,0,0,0.153984,0.15398397,0.0,0.0,4325386,4325386,2490378,0,0,0.0060182097,0.0060182097,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
240868024,4259850,4259850,2490378,0,0,0.15430385,0.1543038,0.0,0.0,4325386,4325386,2490378,0,0,0.0063476367,0.0063476367,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
241062975,4259850,4259850,2490378,0,0,0.15103921,0.15103921,0.0,0.0,4325386,4325386,2490378,0,0,0.0057129813,0.0057129813,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
241262926,4259850,4259850,2490378,0,0,0.15105161,0.15105161,0.0,0.0,4325386,4325386,2490378,0,0,0.0058398093,0.0058398093,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
241462875,4259850,4259850,2490378,0,0,0.15185179,0.15185177,0.0,0.0,4325386,4325386,2490378,0,0,0.0065525793,0.0065525793,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
241662828,4259850,4259850,2490378,0,0,0.15311788,0.1531179,0.0,0.0,4325386,4325386,2490378,0,0,0.0065032956,0.0065032956,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
241867777,4259850,4259850,2490378,0,0,0.15073176,0.15073173,0.0,0.0,4325386,4325386,2490378,0,0,0.0064578033,0.0064578033,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
242067729,4259850,4259850,2490378,0,0,0.15175347,0.15175349,0.0,0.0,4325386,4325386,2490378,0,0,0.0064870543,0.0064870543,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
242267679,4259850,4259850,2490378,0,0,0.1532035,0.1532035,0.0,0.0,4325386,4325386,2490378,0,0,0.00641709,0.00641709,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
242467643,4259850,4259850,2490378,0,0,0.15481173,0.15481171,0.0,0.0,4325386,4325386,2490378,0,0,0.006191528,0.006191528,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
242662581,4259850,4259850,2490378,0,0,0.15113907,0.15113907,0.0,0.0,4325386,4325386,2490378,0,0,0.0064658574,0.0064658574,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
