timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
113873484,5.044867,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
114373484,5.0442624,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
114873506,5.034796,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
115373505,5.020999,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
115873498,5.044162,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
116373484,5.037213,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
116873484,5.0452695,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
117373484,5.0429535,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
117873484,5.0314727,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
118373484,5.02543,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
118873484,5.0245237,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
119373484,5.0183806,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
119873484,5.009921,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
120373504,5.06239,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
120873484,5.0436583,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
121373483,5.0298615,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
121873483,5.042047,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
122373513,5.0486937,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
122873485,5.0136476,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
123373484,5.0391264,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
123873483,5.042853,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
124373502,5.0277467,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
124873895,5.04678,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
125373774,5.0388246,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
125873862,5.000354,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
126373483,5.04386,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
126873483,5.046176,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
127373485,5.0237184,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
127873484,5.026538,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
128373499,5.0366087,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
128873485,5.067224,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
129373484,5.055542,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
129873485,5.0548368,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
130373484,5.04104,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
130873484,5.0431547,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
131373484,5.0496,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
131873484,5.0650086,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
132373485,5.0415435,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
132873483,5.05242,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
133373484,5.0499024,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
133873498,5.054333,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
134373484,5.051312,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
134873484,5.032782,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
135373484,5.0526214,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
135873484,5.037918,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
136373483,5.0499024,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
136873654,5.055542,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
137373484,5.036206,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
137873502,5.031372,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
138373531,5.0408387,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
138873484,5.0474854,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
139373485,5.0505066,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
139873484,5.0577574,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
140373484,5.0358033,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
140873484,5.0370116,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
141373484,5.0522184,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
141873484,5.042651,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
142373484,5.067627,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
142873498,5.057657,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
143373483,5.0522184,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
143873497,5.0388246,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
144373484,5.0519166,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
144873495,5.047787,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
145373500,5.0525208,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
145873560,5.0525208,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
146373667,5.0490966,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
146873900,5.0292573,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
147373762,5.0463777,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
147873484,5.030768,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
148373486,5.025833,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
148873712,5.0508084,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
149373484,5.0482907,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
149873485,5.020395,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
150373485,5.042047,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
150873484,5.053528,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
151373484,5.0183806,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
151873486,5.0370116,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
152373484,5.050406,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
152873510,5.030969,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
153373499,5.0553403,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
153873484,5.0522184,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
154373484,5.0108275,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
154873552,5.0395293,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
155373484,5.043457,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
155873485,5.034494,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
156373484,5.0367093,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
156873484,5.0583615,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
157373484,5.028955,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
157873558,5.029559,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
158373506,5.053125,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
158873485,5.0502043,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
159373484,5.03822,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
159873484,5.047787,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
160373484,5.02825,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
160873848,5.040335,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
161373486,5.0515137,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
161873484,5.036508,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
162373502,5.052722,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
162873484,5.0377164,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
163373484,5.053528,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
163873484,5.0446653,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
164373484,5.0328827,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
164873484,5.0311704,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
165373484,5.030566,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
