timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
969188587,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
969278567,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
969348523,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
969418596,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
969583518,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
969673516,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
969755365,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
969893514,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
969968377,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970078493,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970128331,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970453258,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970503273,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970548271,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970688201,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970808176,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970903215,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970953170,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
970998128,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
971133119,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
971228084,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
971298431,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
971463026,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
971488053,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
971657987,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
971753048,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
971827953,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
971892952,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
972007913,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
972117925,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
972282925,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
